"titulo","autor","modelos usados","resultados","query"
"DeepHit: A Deep Learning Approach to Survival Analysis with Competing Risks","Changhee Lee, William R. Zame, Jinsung Yoon, Mihaela van der Schaar","DeepHit, Deep Neural Network","DeepHit provides performance improvements over other models","TS=(("Deep Learning" AND "Survival Analysis") AND ("Financial Distress" OR "Recurrence" OR "Competing Risks"))"
"The recurrence of financial distress: A survival analysis","Fanyin Zhou, Lijun Fu, Zhiyong Li, Jiawei Xu","Stratified hazard model, Survival analysis","Accounting and market-based variables have limited power in predicting the recurrence of distress. The duration of recovery and restructuring events significantly affect the recurrent risk.","TS=("financial distress recurrence" AND "stratified hazard model" AND "Chinese stock market")"
"Modeling default prediction with earnings management","Hsiou-Wei William Lin, Huai-Chun Lo, Ruei-Shian Wu","Z-score methodology, accounting-based credit scoring model","The inclusion of the indicator variable for real earnings management considerably enhances the explanatory power of Z-score factors for firm survival/default.","TS=("default prediction" AND "earnings management" AND "credit scoring")"
"Predicting the risk of financial distress using corporate governance measures","Zhiyong Li, Jonathan Crook, Galina Andreeva, Ying Tang","Dynamic discrete-time survival analysis model","Corporate governance alone is not sufficient to accurately predict financial distress, but it can add to the predictive power of financial ratios and macroeconomic factors.","TS=(("Financial Distress" OR "Corporate Failure") AND ("Corporate Governance" OR "Corporate Governance Measures"))"
"Predicting Financial Distress: A Comparison of Survival Analysis and Decision Tree Techniques","Adrian Gepp and Kuldeep Kumar","Cox survival analysis model, CART decision trees","Decision trees and survival analysis models have good prediction accuracy.","TS=("financial distress prediction" AND "decision tree" AND "survival analysis")"
"Application of the Random Survival Forests Method in the Bankruptcy Prediction for Small and Medium Enterprises","Aneta Ptak-Chmielewska, Anna Matuszyk","Random Survival Forests (RSF), Cox regression survival model","Random Survival Forests provided not only better results but also more stable ones than the semiparametric Cox regression survival model.","TS=("random survival forests" AND SME AND "bankruptcy prediction")"
"A multi-task-type bankruptcy prediction method without using financial statements","Suguru Yamanaka, Takaya Ohsato","Multi-task learning, Least-squares probabilistic classifier","The prediction accuracy of multi-task learning outperforms that of conventional single-task learning in some cases.","TS=("multi-task learning" AND "bankruptcy prediction" AND "transaction information")"
"A New Discrete Learning-Based Logistic Regression Classifier for Bankruptcy Prediction","Mehdi Khashei, Sepideh Etemadi, Negar Bakhtiarvand","Discrete direction-based Logistic Regression","The proposed discrete direction-based logistic regression classifier can attain a superior performance compared to conventional alternatives.","TS=("discrete learning" AND "logistic regression" AND "bankruptcy prediction")"
"Bank failure prediction: corporate governance and financial indicators","Noora Alzayed, Rasol Eskandari, Hassan Yazdifar","Discriminant analysis, Logit regression","Combining CAMEL ratios with corporate governance variables not only increases the accuracy of prediction but also extends the time horizon to three years before failure.","TS=("bank failure" AND "corporate governance" AND "CAMEL ratios")"
"Early Warning Signs of Financial Distress Using Random Forest and Logit Model","Valentino Budhidharma, Roy Sembel, Edison Hulu, Gracia Ugut","Random Forest, Logit Model","Combining theories, random forests, and logit can be used to build a new financial distress prediction model.","TS=("early warning signs" AND "random forest" AND "financial distress")"
"Macroeconomic conditions and bank failure","Qiongbing Wu, Rebel A. Cole","Time-varying hazard model","Bank-level financial conditions are more essential in predicting bank failure, although macro factors affect the failure likelihood of vulnerable banks.","TS=("macroeconomic conditions" AND "bank failure" AND "hazard model")"
"Corporate financial distress prediction with multiperiod annual report data: A fusion deep neural network model","Chongren Wang, Pimei Gong, Jiawang Li, Zhiyi Wang","Fusion deep neural network (MTF-FDNN)","The proposed model demonstrates significant improvements over traditional multiperiod financial indicator-based prediction models.","TS=("deep neural network" AND "feature fusion" AND "multiperiod data")"
"Short- and Long-Term Financial Distress Prediction in SMEs: A Survival Model Comparison","Ana Borges and Mariana Carvalho","Cox Proportional Hazard, Axis-Based Random Survival Forest (RSF), and Accelerated Oblique Random Survival Forest","Accelerated Oblique RSF gave very good results for short-term predictions, while for long-term predictions, good performances were witnessed with both Accelerated Oblique RSF and Axes-based RSF models.","TS=(("Financial Distress" OR Bankruptcy) AND ("Survival Analysis" OR "Random Survival Forest" OR "Survival Machine Learning") AND (SME OR PME))"
"Aplicação de Modelos de Machine Learning para Previsão de Eventos de Stress Financeiro","Ana Beatriz Esteves Fernandes","Cox Regression, Random Survival Forest (RSF), Kernel SVM, Multi-Task Logistic Regression (MTLR) e DeepSurv","All applied models were effective in predicting financial stress events, with Random Survival Forest standing out for its superior performance.","TS=("survival machine learning models" AND "financial distress" AND "cox regression")"
"Modelação de Episódios Recorrentes de Stress Financeiro em Empresas: Comparação entre Métodos Multi-Estado Clássicos e Técnicas de Deep Learning de Sobrevivência","Pedro Miguel Marques Sousa","DeepHit, Random Survival Forests, Cox Proportional Hazards","Proposal, no results yet.","TS=("recurrent episodes" AND "deep learning" AND "multi-state models")"
"Predicting Financial Distress Using Machine Learning Techniques","Pallavi Sethi, Archana Singh, Vikas Gupta","Random forest, ANN, and logistic regression","Machine learning models have better predictive accuracy than statistical models.","TS=("machine learning techniques" AND "financial distress" AND "liquidation")"
